ARO Accession	Name	Model ID	Model Type	Pathogen	NCBI Plasmid	NCBI WGS	NCBI Chromosome	NCBI Genomic Island	Criteria	ARO Categories
ARO:3001057	TEM-198	132	protein homolog model	Escherichia coli	0	0.03	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3002724	QnrB10	139	protein homolog model	Escherichia coli	0.01	0	0	0	perfect	antibiotic target protection; fluoroquinolone antibiotic
ARO:3002724	QnrB10	139	protein homolog model	Escherichia coli	0.01	0.03	0	0	perfect_strict	antibiotic target protection; fluoroquinolone antibiotic
ARO:3002612	aadA12	149	protein homolog model	Escherichia coli	0	0.1	0.03	0	perfect	aminoglycoside antibiotic; antibiotic inactivation
ARO:3002612	aadA12	149	protein homolog model	Escherichia coli	0	0.67	0.03	0	perfect_strict	aminoglycoside antibiotic; antibiotic inactivation
ARO:3002676	catB3	150	protein homolog model	Escherichia coli	0.29	1.21	0.23	0.38	perfect	antibiotic inactivation; phenicol antibiotic
ARO:3002676	catB3	150	protein homolog model	Escherichia coli	1.11	5.14	0.83	1.28	perfect_strict	antibiotic inactivation; phenicol antibiotic
ARO:3000830	cpxA	152	protein homolog model	Escherichia coli	0.01	63.95	52.4	0	perfect	aminocoumarin antibiotic; aminoglycoside antibiotic; antibiotic efflux
ARO:3000830	cpxA	152	protein homolog model	Escherichia coli	0.01	74.71	61.55	0.13	perfect_strict	aminocoumarin antibiotic; aminoglycoside antibiotic; antibiotic efflux
ARO:3000777	adeF	153	protein homolog model	Escherichia coli	0.23	1	0.03	0.13	perfect_strict	antibiotic efflux; fluoroquinolone antibiotic; tetracycline antibiotic
ARO:3000815	mgrA	154	protein homolog model	Escherichia coli	0	0.03	0	0	perfect_strict	antibiotic efflux; cephalosporin; disinfecting agents and antiseptics; fluoroquinolone antibiotic; penam; peptide antibiotic; tetracycline antibiotic
ARO:3001055	TEM-195	155	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3003017	dfrA21	157	protein homolog model	Escherichia coli	0.01	0	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3003017	dfrA21	157	protein homolog model	Escherichia coli	0.01	0.03	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3001886	CTX-M-24	175	protein homolog model	Escherichia coli	0	0.22	0.49	0	perfect	antibiotic inactivation; cephalosporin
ARO:3001886	CTX-M-24	175	protein homolog model	Escherichia coli	0.02	0.26	0.49	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3000839	arlS	182	protein homolog model	Escherichia coli	0	0.03	0	0	perfect_strict	antibiotic efflux; disinfecting agents and antiseptics; fluoroquinolone antibiotic
ARO:3001778	OXA-232	185	protein homolog model	Escherichia coli	0	0.05	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3001778	OXA-232	185	protein homolog model	Escherichia coli	0	0.05	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3001900	CTX-M-38	192	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3001918	CTX-M-56	197	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3001002	TEM-138	198	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3002655	APH(4)-Ia	205	protein homolog model	Escherichia coli	0.37	1.85	0.26	0.51	perfect	aminoglycoside antibiotic; antibiotic inactivation
ARO:3002655	APH(4)-Ia	205	protein homolog model	Escherichia coli	0.41	2.22	0.26	0.51	perfect_strict	aminoglycoside antibiotic; antibiotic inactivation
ARO:3001383	TEM-206	211	protein homolog model	Escherichia coli	0.04	0.21	0.03	0.13	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3001948	CTX-M-88	225	protein homolog model	Escherichia coli	0	0	0	0.13	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3002797	QnrS8	234	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic target protection; fluoroquinolone antibiotic
ARO:3001784	OXA-181	235	protein homolog model	Escherichia coli	0.22	0.37	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3001784	OXA-181	235	protein homolog model	Escherichia coli	0.22	0.37	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3001404	OXA-9	243	protein homolog model	Escherichia coli	0.09	0.13	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3001404	OXA-9	243	protein homolog model	Escherichia coli	0.14	0.22	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3002695	cmlA5	245	protein homolog model	Escherichia coli	0.19	0.39	0	0	perfect	antibiotic efflux; phenicol antibiotic
ARO:3002695	cmlA5	245	protein homolog model	Escherichia coli	0.32	0.86	0.06	0.26	perfect_strict	antibiotic efflux; phenicol antibiotic
ARO:3001024	TEM-158	247	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3001205	BRP(MBL)	255	protein homolog model	Escherichia coli	0.4	1.85	0.03	0	perfect	antibiotic inactivation; glycopeptide antibiotic
ARO:3001205	BRP(MBL)	255	protein homolog model	Escherichia coli	0.63	1.96	0.17	0	perfect_strict	antibiotic inactivation; glycopeptide antibiotic
ARO:3002032	CMY-21	256	protein homolog model	Escherichia coli	0.01	0	0.03	0	perfect_strict	antibiotic inactivation; cephamycin
ARO:3002856	dfrA24	263	protein homolog model	Escherichia coli	0.01	0.06	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3003206	lsaE	264	protein homolog model	Escherichia coli	0	0.02	0	0	perfect_strict	antibiotic target protection; lincosamide antibiotic; macrolide antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic; streptogramin antibiotic; tetracycline antibiotic
ARO:3002015	CMY-4	271	protein homolog model	Escherichia coli	0.05	0.1	0	0	perfect	antibiotic inactivation; cephamycin
ARO:3002015	CMY-4	271	protein homolog model	Escherichia coli	0.05	0.11	0	0	perfect_strict	antibiotic inactivation; cephamycin
ARO:3000958	TEM-91	277	protein homolog model	Escherichia coli	0	0.05	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3001984	CTX-M-125	282	protein homolog model	Escherichia coli	0	0.08	0	0	perfect	antibiotic inactivation; cephalosporin
ARO:3001984	CTX-M-125	282	protein homolog model	Escherichia coli	0	0.09	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3000883	TEM-11	285	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3002641	APH(3')-Ia	291	protein homolog model	Escherichia coli	0.09	0.29	0.03	0	perfect	aminoglycoside antibiotic; antibiotic inactivation
ARO:3002641	APH(3')-Ia	291	protein homolog model	Escherichia coli	1.79	7.69	1.49	1.02	perfect_strict	aminoglycoside antibiotic; antibiotic inactivation
ARO:3000888	TEM-17	292	protein homolog model	Escherichia coli	0	0.05	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3001384	TEM-207	302	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3001041	TEM-176	314	protein homolog model	Escherichia coli	0.02	0.05	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3001041	TEM-176	314	protein homolog model	Escherichia coli	0.02	0.06	0.03	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3001898	CTX-M-36	316	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3001015	TEM-148	317	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3002609	aadA9	323	protein homolog model	Escherichia coli	0.09	0.26	0.03	0.13	perfect_strict	aminoglycoside antibiotic; antibiotic inactivation
ARO:3002217	IMP-26	330	protein homolog model	Escherichia coli	0	0.01	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam; penem
ARO:3002217	IMP-26	330	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam; penem
ARO:3001032	TEM-166	331	protein homolog model	Escherichia coli	0	0.01	0	0	perfect	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3001032	TEM-166	331	protein homolog model	Escherichia coli	0	0.03	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3002598	ANT(3'')-Ii-AAC(6')-IId fusion protein	339	protein homolog model	Escherichia coli	0	0.03	0	0	perfect_strict	aminoglycoside antibiotic; antibiotic inactivation
ARO:3002192	IMP-1	341	protein homolog model	Escherichia coli	0	0.02	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam; penem
ARO:3002192	IMP-1	341	protein homolog model	Escherichia coli	0	0.02	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam; penem
ARO:3001425	OXA-31	343	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3002738	QnrB23	346	protein homolog model	Escherichia coli	0.01	0	0	0	perfect_strict	antibiotic target protection; fluoroquinolone antibiotic
ARO:3002715	QnrB2	353	protein homolog model	Escherichia coli	0.01	0.01	0	0	perfect_strict	antibiotic target protection; fluoroquinolone antibiotic
ARO:3000873	TEM-1	355	protein homolog model	Escherichia coli	5.36	23.39	3.63	1.15	perfect	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000873	TEM-1	355	protein homolog model	Escherichia coli	5.38	23.83	3.83	1.15	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000975	TEM-112	359	protein homolog model	Escherichia coli	0.03	0.03	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3001021	TEM-155	363	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000984	TEM-122	365	protein homolog model	Escherichia coli	0	0.09	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3003046	qacA	372	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic efflux; fluoroquinolone antibiotic
ARO:3001216	mdtH	375	protein homolog model	Escherichia coli	0.01	49.06	39.25	0	perfect	antibiotic efflux; fluoroquinolone antibiotic
ARO:3001216	mdtH	375	protein homolog model	Escherichia coli	0.01	74.72	61.46	0	perfect_strict	antibiotic efflux; fluoroquinolone antibiotic
ARO:3002837	lnuC	376	protein homolog model	Escherichia coli	0	0.05	0	0	perfect_strict	antibiotic inactivation; lincosamide antibiotic
ARO:3000026	mepA	377	protein homolog model	Escherichia coli	0	0.03	0	0	perfect_strict	antibiotic efflux; glycylcycline; tetracycline antibiotic
ARO:3001391	TEM-214	378	protein homolog model	Escherichia coli	0.01	0.05	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3002005	CTX-M-147	380	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3002790	QnrS1	381	protein homolog model	Escherichia coli	1.23	3.76	0.71	0.13	perfect	antibiotic target protection; fluoroquinolone antibiotic
ARO:3002790	QnrS1	381	protein homolog model	Escherichia coli	1.47	3.85	0.8	0.13	perfect_strict	antibiotic target protection; fluoroquinolone antibiotic
ARO:3000792	mdtA	387	protein homolog model	Escherichia coli	0.02	6.83	10.01	0	perfect	aminocoumarin antibiotic; antibiotic efflux
ARO:3000792	mdtA	387	protein homolog model	Escherichia coli	0.04	74.64	61.32	0	perfect_strict	aminocoumarin antibiotic; antibiotic efflux
ARO:3002272	VIM-2	391	protein homolog model	Escherichia coli	0	0.01	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam; penem
ARO:3002272	VIM-2	391	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam; penem
ARO:3000413	sul3	396	protein homolog model	Escherichia coli	1.43	4.87	0.4	0.89	perfect_strict	antibiotic target replacement; sulfonamide antibiotic; sulfone antibiotic
ARO:3000413	sul3	396	protein homolog model	Escherichia coli	1.32	4.71	0.4	0.77	perfect	antibiotic target replacement; sulfonamide antibiotic; sulfone antibiotic
ARO:3000937	TEM-71	398	protein homolog model	Escherichia coli	0.01	0.02	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3002863	dfrA8	403	protein homolog model	Escherichia coli	0.11	1.54	0.17	0.13	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002863	dfrA8	403	protein homolog model	Escherichia coli	0.16	1.58	0.17	0.13	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3000903	TEM-33	415	protein homolog model	Escherichia coli	0	0.07	0.03	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3000903	TEM-33	415	protein homolog model	Escherichia coli	0	0.01	0.03	0	perfect	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3001788	OXA-204	416	protein homolog model	Escherichia coli	0.01	0	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3001788	OXA-204	416	protein homolog model	Escherichia coli	0.01	0.01	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3002720	QnrB6	417	protein homolog model	Escherichia coli	0.03	0.12	0	0	perfect	antibiotic target protection; fluoroquinolone antibiotic
ARO:3002720	QnrB6	417	protein homolog model	Escherichia coli	0.03	0.14	0	0	perfect_strict	antibiotic target protection; fluoroquinolone antibiotic
ARO:3001864	CTX-M-1	420	protein homolog model	Escherichia coli	0.34	1.51	0.06	0	perfect	antibiotic inactivation; cephalosporin
ARO:3001864	CTX-M-1	420	protein homolog model	Escherichia coli	0.35	1.53	0.06	0	perfect_strict	antibiotic inactivation; cephalosporin
ARO:3000874	TEM-2	421	protein homolog model	Escherichia coli	0.02	0.23	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3001373	TEM-182	425	protein homolog model	Escherichia coli	0.01	0	0	0	perfect_strict	antibiotic inactivation; cephalosporin; monobactam; penam; penem
ARO:3001137	SHV-83	439	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; penam
ARO:3002680	catB8	446	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; phenicol antibiotic
ARO:3002680	catB8	446	protein homolog model	Escherichia coli	0	0.01	0	0	perfect	antibiotic inactivation; phenicol antibiotic
ARO:3002868	dfrG	448	protein homolog model	Escherichia coli	0	0.02	0	0	perfect_strict	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002868	dfrG	448	protein homolog model	Escherichia coli	0	0.01	0	0	perfect	antibiotic target replacement; diaminopyrimidine antibiotic
ARO:3002801	QnrVC4	452	protein homolog model	Escherichia coli	0.01	0.03	0	0	perfect	antibiotic target protection; fluoroquinolone antibiotic
ARO:3002801	QnrVC4	452	protein homolog model	Escherichia coli	0.01	0.03	0	0	perfect_strict	antibiotic target protection; fluoroquinolone antibiotic
ARO:3002314	KPC-4	454	protein homolog model	Escherichia coli	0.01	0	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; monobactam; penam
ARO:3002314	KPC-4	454	protein homolog model	Escherichia coli	0.01	0	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; monobactam; penam
ARO:3000553	adeR	456	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic efflux; glycylcycline; tetracycline antibiotic
ARO:3000166	tet(B)	458	protein homolog model	Escherichia coli	1.57	12.13	3.72	2.81	perfect_strict	antibiotic efflux; tetracycline antibiotic
ARO:3003182	NDM-13	464	protein homolog model	Escherichia coli	0	0.01	0	0	perfect	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
ARO:3003182	NDM-13	464	protein homolog model	Escherichia coli	0	0.01	0	0	perfect_strict	antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam
